.geo,year,point_id,date,ndvi,savi,evi,rainfall,temp,wind_speed,soil_moisture,bsi,chl,humidity,lswi,ndmi,ndre,psri,vpd
"{""type"": ""Point"", ""coordinates"": [35.9491528588571, -0.9932219942761594]}",2026,86,1/5/2026,0.382696391,0.573968422,0.910583481,0.0,18.24658165,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.08308506107119, -1.0767038544534053]}",2026,87,1/5/2026,0.261931605,0.392823596,0.577082298,0.0,18.61230431,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.88495447561104, 0.7395642544524572]}",2026,88,1/5/2026,0.432712215,0.648933968,0.806700633,0.0,22.72656212,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.645213830861984, -0.32114443096995005]}",2026,90,1/5/2026,0.685755396,1.02848511,1.565291645,0.0,15.13151004,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.275626067162264, 0.6990860608889915]}",2026,91,1/5/2026,0.417522395,0.626215183,1.08321052,0.0,22.14510053,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.603390436390065, 1.3293498677694726]}",2026,92,1/5/2026,0.875449964,1.312938636,2.428115016,0.0,14.09415652,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.65384935838782, 0.9772042495130293]}",2026,95,1/5/2026,0.463250169,0.694797168,1.724686192,0.0,15.31445274,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.942538831785114, -1.3505452282906496]}",2026,96,1/5/2026,0.50443225,0.756488711,1.578599736,0.0,21.3072099,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.168765713254295, 0.7373974235135807]}",2026,98,1/5/2026,0.358297872,0.537218205,0.849818329,0.0,18.48836225,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.53839562301129, 0.22182484062606422]}",2026,99,1/5/2026,0.572850679,0.859146433,1.260621349,0.0,15.35847944,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.146943175884346, -0.15275715570654494]}",2026,100,1/5/2026,-0.022095102,-0.033141468,0.078714082,0.0,24.72395795,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.33826398538177, 0.025024056277472395]}",2026,101,1/5/2026,-0.034471649,-0.051706433,0.065170387,0.0,22.51220665,,0.0,,,,,,,,
